what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1273251018268
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1273251018398
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251019354
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251019482
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251019612
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251019752
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251019902
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251023002
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251023132
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251023292
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251023431
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273251024788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251034771
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251215688
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251256879
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1273251270652
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251271937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251288300
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251318643
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251330843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251330954
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251361292
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251370403
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251371918
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251377097
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251379922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251384644
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251392812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251399852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251401134
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251404260
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251419603
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251452683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251456423
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1273251457491
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1273251457655
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251460590
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251470965
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251472029
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1273251472172
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251476493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251477107
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251477615
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251487186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251487296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273251490383
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1273251512192
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273251515199
