what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417478795
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417478926
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417479067
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417479289
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417479570
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417479731
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417479841
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417480102
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1275417480341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417483062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417486577
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417489811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417752580
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275417756507
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1275417759644
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417765035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417811474
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275417813182
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417822463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417822626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417843193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417844660
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275417849865
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417852894
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417855476
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417859375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417860496
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275417871564
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417879516
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417883435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417892683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417896048
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417906171
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1275417911051
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417911093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275417916238
