what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396819103
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274396827012
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274396839055
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274396842324
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274396842448
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274396842466
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274396847735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396853654
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396853772
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396854191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396856169
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396862163
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396862499
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274396881408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274396885742
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397043203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397043842
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1274397044757
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397046634
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397076821
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274397079112
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274397080893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397083365
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397143558
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397145788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1274397147204
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1274397148619
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1274397157580
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1274397161390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1274397162749
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397163379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397294251
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274397300874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397303171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397355071
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397356260
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1274397357182
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1274397357970
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397374876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397475956
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1274397481184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397483020
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397589229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397594514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397606454
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397608914
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397661704
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274397664717
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397667289
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274397676030
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397677998
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397678763
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274397678763
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1274397678790
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1274397694196
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1274397707825
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1274397707985
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1274397708116
