what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1273288993114
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1273288993115
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1273288993115
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1273288993115
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1273288993115
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1273288993115
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1273288993115
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1273288993115
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1273288993115
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1273288993115
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1273288993115
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1273288993115
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1273288993115
os,sysinfo,,,"linux",1273288993118
arch,sysinfo,,,"x86",1273288993118
ws,sysinfo,,,"gtk",1273288993118
locale,sysinfo,,,"en_US",1273288993118
processors,sysinfo,,,"2",1273288993119
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1273288993119
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1273288993119
java.specification.name,sysinfo,,,"Java Platform API Specification",1273288993119
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1273288993119
java.specification.version,sysinfo,,,"1.6",1273288993119
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1273288993119
java.version,sysinfo,,,"1.6.0_18",1273288993119
java.vm.info,sysinfo,,,"mixed mode, sharing",1273288993119
java.vm.name,sysinfo,,,"OpenJDK Client VM",1273288993119
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1273288993119
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1273288993119
java.vm.specification.version,sysinfo,,,"1.0",1273288993119
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1273288993119
java.vm.version,sysinfo,,,"14.0-b16",1273288993119
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273289007974
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273289024607
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273289025939
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273291364844
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1273291364944
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273291368447
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273308995576
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309126471
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309126603
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309126605
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273309126627
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309127346
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309127440
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309127440
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273309127454
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129071
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129153
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129153
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273309129163
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129581
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129653
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309129653
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273309129662
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273309130089
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273309130089
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273309130100
